"","location","year","region","hc_sq","hc_cf","hc_cf_lower","hc_cf_upper","sav_rate","gdp_sq","cs_sq","capital_share","tech_level","tc_share","he_pc","pop","tc"
"1112","El Salvador",2046,"Latin America and Caribbean",29069994.9180194,29074607.378294,29073193.728178,29076689.4832035,13.4547873395055,103387422346.713,206983431495.32,0.516049904761905,48.5970096128308,1.56181042919917,928.186410978504,6677489,96800300.5473425
"1113","El Salvador",2047,"Latin America and Caribbean",28867486.2383607,28872077.826953,28870672.5764751,28874144.9064506,13.4547873395055,105871073309.107,210544817733.101,0.516049904761905,49.5336467151769,1.5575145653068,933.872373959793,6671028,97031424.7632838
"1114","El Salvador",2048,"Latin America and Caribbean",28664019.6270187,28668591.2443494,28667194.3465526,28670643.4737475,13.4547873395055,108414388415.969,214262304614.238,0.516049904761905,50.4796740985792,1.55323051747498,939.593168495004,6663165,97242548.7303343
"1115","El Salvador",2049,"Latin America and Caribbean",28449533.8143236,28454083.1283289,28452695.5683878,28456119.3674403,13.4547873395055,111018800964.564,218136114790.32,0.516049904761905,51.4450353416937,1.54895825320283,945.349007958224,6653807,97432104.9793165
"1116","El Salvador",2050,"Latin America and Caribbean",28229557.7392486,28234082.757384,28232705.1227929,28236102.0718827,13.4547873395055,113685778683.912,222166652627.455,0.516049904761905,52.4257548459532,1.54469774007889,951.140107030641,6643038,97601106.8865457
"1117","Estonia",2020,"Europe and central Asia",9917035.28914789,9917035.28914789,9917035.28914789,9917035.28914789,27.3270973852033,47707590682,204359532351.801,0.58835,80.6013205589118,4.3698111686298,2990.551971,1329086,173686917.595875
"1118","Estonia",2021,"Europe and central Asia",9964616.28774356,9966308.32815097,9966071.78939649,9966579.26356492,27.3270973852033,51165913930.5382,207178655500.015,0.58835,85.7162238450806,4.31046338532105,3034.38887749802,1329802,173933076.986769
"1119","Estonia",2022,"Europe and central Asia",9963708.93017665,9966265.3848655,9965972.70750729,9966581.652243,27.3270973852033,50930039067.3184,210801881852.842,0.58835,84.7188523578747,4.2519216229701,3078.86836583041,1327600,173797536.252579
"1120","Estonia",2023,"Europe and central Asia",9956944.30166805,9959938.09894781,9959638.26163216,9960262.17708679,27.3270973852033,49774436480.8809,214179489134.448,0.58835,82.2894501517672,4.19417493475219,3123.9998552616,1324524,173547106.645684
"1121","Estonia",2024,"Europe and central Asia",9944254.67628617,9947462.26857415,9947163.02498681,9947793.01727544,27.3270973852033,50953095136.7482,217072423407.792,0.58835,83.8369823453671,4.13721252251487,3169.79290312798,1321007,173238270.038726
"1122","Estonia",2025,"Europe and central Asia",9925571.35660777,9928882.55970823,9928580.6402357,9929223.69417057,27.3270973852033,52311504653.0939,220142804166.197,0.58835,85.6705981476464,4.08102373475873,3216.25720686186,1317075,172874285.934005
"1123","Estonia",2026,"Europe and central Asia",9905560.81870561,9908922.05563636,9908613.44005127,9909274.67907802,27.3270973852033,53824353367.6614,223430879778.103,0.58835,87.7159506228446,4.02559806464577,3263.40260604502,1312725,172454615.778828
"1124","Estonia",2027,"Europe and central Asia",9877000.93534233,9880377.8543286,9880063.14752177,9880738.48567418,27.3270973852033,55421321932.0799,226967969250.935,0.58835,89.8889670760098,3.97092514803467,3311.23908449242,1308031,171988843.868694
"1125","Estonia",2028,"Europe and central Asia",9858564.39461032,9861935.38817434,9861617.17524251,9862300.17040445,27.3270973852033,57700870336.4372,230764609404.934,0.58835,93.0515225064135,3.91699476154274,3359.77677236645,1303045,171483693.168188
