"","location","year","region","hc_sq","hc_cf","hc_cf_lower","hc_cf_upper","sav_rate","gdp_sq","cs_sq","capital_share","tech_level"
"3164","Sierra Leone",2021,"Sub-Saharan Africa",17049639.3879198,17050304.0635089,17050015.551793,17050707.1134997,4.46993378943171,13598194069.3605,15244012624.1131,0.54757,36.8528710855892
"3165","Sierra Leone",2022,"Sub-Saharan Africa",17347231.2309023,17348339.0803077,17347875.1816781,17348952.3050746,4.46993378943171,14140490048.8466,15089642264.3663,0.54757,38.1363814708895
"3166","Sierra Leone",2023,"Sub-Saharan Africa",17640708.0911497,17642166.4825513,17641569.8412251,17642948.3794178,4.46993378943171,14529070715.3889,14967230693.8326,0.54757,38.9694087455679
"3167","Sierra Leone",2024,"Sub-Saharan Africa",17933445.9235595,17935232.9688556,17934510.3118898,17936183.7754354,4.46993378943171,15217312795.1769,14868309000.3385,0.54757,40.5707469539802
"3168","Sierra Leone",2025,"Sub-Saharan Africa",18220946.4133959,18223059.4830292,18222209.5522545,18224184.8660155,4.46993378943171,16006634809.8627,14805097356.7967,0.54757,42.3867425694848
"3169","Sierra Leone",2026,"Sub-Saharan Africa",18504876.1570375,18507290.8758133,18506322.2240388,18508579.9173647,4.46993378943171,16734136361.971,14780328466.8739,0.54757,43.9729131029265
"3170","Sierra Leone",2027,"Sub-Saharan Africa",18788747.1978888,18791409.1477283,18790342.8918423,18792832.3711196,4.46993378943171,17482654281.442,14789316859.1435,0.54757,45.5459236135591
"3171","Sierra Leone",2028,"Sub-Saharan Africa",19067381.4823762,19070227.2329429,19069088.1058341,19071750.9868527,4.46993378943171,18304398303.1007,14831314087.202,0.54757,47.2432409486714
"3172","Sierra Leone",2029,"Sub-Saharan Africa",19337046.6047038,19340017.4438931,19338828.4816731,19341609.9879426,4.46993378943171,19164767079.6885,14907942867.5444,0.54757,48.9706101724814
"3173","Sierra Leone",2030,"Sub-Saharan Africa",19592995.1469296,19596048.580406,19594826.4554029,19597686.2393374,4.46993378943171,20065576105.6344,15019198123.5281,0.54757,50.7336015750277
"3174","Sierra Leone",2031,"Sub-Saharan Africa",19840026.4707096,19843142.0762473,19841894.7546439,19844813.8548999,4.46993378943171,21008726209.7605,15165156183.7416,0.54757,52.5247453675729
