"","location","year","region","hc_sq","hc_cf","hc_cf_lower","hc_cf_upper","sav_rate","gdp_sq","cs_sq","capital_share","tech_level","tc_share","he_pc","pop","tc","gdp_cf","gdp_cf_lower","gdp_cf_upper","cs_cf","cs_cf_lower","cs_cf_upper"
"380","Bolivia (Plurinational State of)",2027,"Latin America and Caribbean",58799581.3468226,67565355.2344341,67560059.3146912,67572905.9927736,19.7557751815596,111341724433.449,271280247580.246,0.42857,15.2594570502315,1.73734236816024,766.826974863607,13013803,173375218.246422,120365309667.38,120360472088.998,120372206788.044,280144342321.782,280141107640.696,280148954551.396
"381","Bolivia (Plurinational State of)",2028,"Latin America and Caribbean",59916530.2299029,68850613.7707621,68845060.9756374,68858520.9631836,19.7557751815596,115356613940.339,279712655963.577,0.42857,15.4107801406891,1.7471251518296,785.171557172099,13190553,180947079.554383,124977686759.984,124972374674.389,124985252767.361,289950476798.506,289946448150.364,289956220996.292
"382","Bolivia (Plurinational State of)",2029,"Latin America and Caribbean",61017918.8508904,70120531.9423214,70114782.4101885,70128709.4787682,19.7557751815596,119516277006.598,288516616472.511,0.42857,15.5642487982687,1.75696302127714,803.954991674247,13365524,188790591.4968,129760192333.38,129754427804.31,129768394831.247,300179011280.231,300174134620.809,300185962991.535
"383","Bolivia (Plurinational State of)",2030,"Latin America and Caribbean",62101074.9472734,71372786.6541695,71366884.6921449,71381172.6965265,19.7557751815596,123825934045.754,297702152639.679,0.42857,15.7202659786619,1.76685628668483,823.187776905511,13539180,196921212.603536,134719582332.141,134713378492.71,134728402946.69,310842489633.581,310836717979.727,310850714226.359
"384","Bolivia (Plurinational State of)",2031,"Latin America and Caribbean",63158901.2156138,72600520.2142432,72594498.7937333,72609070.5156777,19.7557751815596,128290993715.081,307279818154.241,0.42857,15.8797021529895,1.7768052599812,842.880662554811,13711835,205353211.960605,139863388974.066,139856752066.018,139872820411.041,321954166275.023,321947457587.291,321963722218.941
"385","Bolivia (Plurinational State of)",2032,"Latin America and Caribbean",64194555.6308577,73806503.7044688,73800375.6141385,73815201.2755495,19.7557751815596,132917059703.515,317260707543.069,0.42857,16.042310341729,1.78681025485126,863.044655472801,13882854,214087080.711664,145197725151.982,145190646780.443,145207779922.657,333528123767.181,333520439341.203,333539065167.389
"386","Bolivia (Plurinational State of)",2033,"Latin America and Caribbean",65196548.4334875,74979724.9061143,74973497.0896837,74988560.4473276,19.7557751815596,137709937764.329,327656467658.881,0.42857,16.2094138239347,1.79687158674631,883.691025823872,14052911,223143264.221369,150731514893.833,150723981190.767,150742212843.996,345578948290.945,345570249699.098,345591329019.032
"387","Bolivia (Plurinational State of)",2034,"Latin America and Caribbean",66170336.5974125,76124747.4712988,76118423.9875129,76133715.6991425,19.7557751815596,142675643001.407,338479309983.323,0.42857,16.3805170413232,1.80698957289396,904.831313385333,14220716,232511657.187427,156470785815.508,156462780591.106,156482150052.987,358122263768.195,358112511764.499,358136138922.86
"388","Bolivia (Plurinational State of)",2035,"Latin America and Caribbean",67113593.1644716,77239045.3690899,77232627.8046831,77248144.1780897,19.7557751815596,147820407418.25,349742023754.36,0.42857,16.5559614611364,1.81716453230804,926.477333997286,14385996,242197126.203458,162423338073.812,162414842285.607,162435395489.23,371174101730.581,371163255832.935,371189528220.721
"389","Bolivia (Plurinational State of)",2036,"Latin America and Caribbean",68024294.3220484,78320386.3550717,78313876.8976554,78329612.8432294,19.7557751815596,153150687739.195,361457989928.657,0.42857,16.7360566121759,1.82739678579878,948.641186166791,14548482,252204315.63077,168597250584.018,168588244834.291,168610028623.678,384751234076.048,384739252064.466,384768271277.564
